timestamp,success
1768773766,false
1768773829,false
1768773891,false
1768773952,false
1768774014,false
1768774075,false
1768774137,true
1768774197,false
1768774262,true
1768774323,true
1768774383,false
1768774448,false
1768774513,true
1768774574,false
1768774639,true
1768774699,true
1768774759,true
1768774820,true
1768774880,true
1768774941,false
1768775006,false
1768775071,false
1768775136,false
1768775199,false
1768775260,false
1768775322,false
1768775383,false
1768775445,false
1768775506,false
1768775568,false
1768775629,false
1768775691,false
1768775752,false
1768775814,false
1768775875,false
1768775937,false
1768775998,true
1768776059,true
1768776119,true
1768776180,false
1768776245,false
1768776310,true
1768776370,false
1768776435,false
1768776500,true
1768776561,true
1768776621,true
1768776681,false
1768776746,false
1768776811,true
1768776871,true
1768776932,false
1768776995,false
1768777057,true
